week_number,Origin,Total_Flights,Total_Duration_of_Flights,Max_Duration_of_Flights,Min_Duration_of_Flights,Median_Duration_of_Flights,Mean_Duration_of_Flights,Mean_Duration_of_Flights_pd,Highest_Traffic_Origin_Airport,Highest_Traffic_Destination_Airport,Most_Common_Flight_Path,Unique_Flight_Paths,Unique_Carriers,Count_of_Arrival_Delays,Mean_Arrival_Delays,Count_of_Departure_Delay,Mean_Departure_Delay,Total_Distance,Mean_Distance,Total_Cancelled_Flights,Count_Carrier_Delay,Mean_Carrier_Delay,Count_Weather_Delay,Mean_Weather_Delay,Count_NAS_Delay,Mean_NAS_Delay,Count_Security_Delay,Mean_Security_Delay,Count_Late_Aircraft_Delay,Mean_Late_Aircraft_Delay
40,DLH,15,611.0,56.0,24.0,41.0,40.733333333333334,40.733333333333334,DLH,MSP,DLH_MSP,4,1,15,2.3333333333333335,15,-0.3333333333333333,2160.0,144.0,0,0,,0,,0,,0,,0,
40,DRO,7,366.0,64.0,38.0,58.0,52.285714285714285,52.285714285714285,DRO,PHX,DRO_PHX,2,1,7,-0.2857142857142857,7,1.5714285714285714,1830.0,261.42857142857144,0,0,,0,,0,,0,,0,
40,DSM,163,12083.0,172.0,28.0,63.0,74.12883435582822,74.12883435582822,DSM,ORD,DSM_ORD,43,6,163,2.9079754601226995,163,3.441717791411043,65143.0,399.6503067484663,0,0,,0,,0,,0,,0,
40,DTW,1174,112430.0,322.0,28.0,85.0,95.76660988074957,95.76660988074957,DTW,ORD,DTW_ORD,323,11,1174,8.567291311754685,1176,6.267006802721088,615918.0,516.7097315436241,16,0,,0,,0,,0,,0,
40,EAU,15,479.0,43.0,22.0,32.0,31.933333333333334,31.933333333333334,EAU,MSP,EAU_MSP,4,1,15,1.5333333333333334,15,-2.1333333333333333,1227.0,81.8,0,0,,0,,0,,0,,0,
40,ELM,30,1006.0,63.0,15.0,27.0,33.53333333333333,33.53333333333333,ELM,['PIT' 'SYR'],['ELM_PIT' 'ELM_SYR'],9,2,30,0.8333333333333334,30,0.3333333333333333,3455.0,115.16666666666667,0,0,,0,,0,,0,,0,
40,ELP,249,19514.0,157.0,41.0,78.0,78.36947791164658,78.36947791164658,ELP,PHX,ELP_PHX,71,6,249,3.072289156626506,249,4.827309236947791,117499.0,471.8835341365462,0,0,,0,,0,,0,,0,
40,ERI,29,1173.0,69.0,28.0,39.0,40.44827586206897,40.44827586206897,ERI,PIT,ERI_PIT,9,2,29,4.068965517241379,30,2.9,3810.0,127.0,0,0,,0,,0,,0,,0,
40,EUG,50,4001.0,138.0,29.0,80.5,80.02,80.02,EUG,SFO,EUG_SFO,14,4,50,10.02,50,10.42,23822.0,476.44,0,0,,0,,0,,0,,0,
40,EVV,31,1399.0,71.0,29.0,47.0,45.12903225806452,45.12903225806452,EVV,IND,EVV_IND,11,3,31,0.45161290322580644,31,1.1290322580645162,6588.0,212.51612903225808,0,0,,0,,0,,0,,0,
40,EWR,1315,154822.0,401.0,26.0,100.0,117.73536121673004,117.73536121673004,EWR,ORD,EWR_ORD,340,9,1315,2.12319391634981,1315,5.355893536121673,856499.0,647.8812405446293,7,0,,0,,0,,0,,0,
40,EYW,22,757.0,42.0,29.0,34.0,34.40909090909091,34.40909090909091,EYW,MIA,EYW_MIA,6,2,22,2.3636363636363638,22,2.409090909090909,2772.0,126.0,0,0,,0,,0,,0,,0,
40,FAI,37,2194.0,101.0,49.0,54.0,59.2972972972973,59.2972972972973,FAI,ANC,FAI_ANC,10,3,37,7.702702702702703,37,2.6216216216216215,11109.0,300.2432432432432,0,0,,0,,0,,0,,0,
40,FAR,36,2117.0,119.0,42.0,52.5,58.80555555555556,58.80555555555556,FAR,MSP,FAR_MSP,9,3,36,2.9722222222222223,36,0.7222222222222222,9556.0,265.44444444444446,0,0,,0,,0,,0,,0,
40,FAT,84,4865.0,133.0,26.0,49.0,57.916666666666664,57.916666666666664,FAT,LAX,FAT_LAX,23,4,84,2.6785714285714284,84,3.369047619047619,24273.0,285.56470588235294,1,0,,0,,0,,0,,0,
40,FAY,47,2136.0,87.0,31.0,42.0,45.4468085106383,45.4468085106383,FAY,CLT,FAY_CLT,14,2,47,0.7021276595744681,47,0.3829787234042553,7467.0,155.5625,1,0,,0,,0,,0,,0,
40,FCA,8,469.0,84.0,32.0,59.0,58.625,58.625,FCA,['HLN' 'SLC'],['FCA_HLN' 'FCA_SLC'],2,1,8,-1.25,8,0.625,2764.0,345.5,0,0,,0,,0,,0,,0,
40,FLG,30,1069.0,51.0,17.0,38.0,35.63333333333333,35.63333333333333,FLG,PHX,FLG_PHX,8,1,30,2.066666666666667,30,2.433333333333333,3114.0,103.8,0,0,,0,,0,,0,,0,
40,FLL,448,50388.0,217.0,15.0,132.0,112.47321428571429,112.47321428571429,FLL,ATL,FLL_ATL,117,9,448,3.609375,449,3.2538975501113585,312823.0,690.5584988962472,4,0,,0,,0,,0,,0,
40,FNT,12,554.0,53.0,41.0,45.5,46.166666666666664,46.166666666666664,FNT,DAY,FNT_DAY,4,1,12,0.3333333333333333,12,0.16666666666666666,2556.0,213.0,0,0,,0,,0,,0,,0,
40,FOE,8,239.0,38.0,22.0,29.5,29.875,29.875,FOE,['LNK' 'MCI'],['FOE_LNK' 'FOE_MCI'],2,1,8,-2.875,8,-2.25,796.0,99.5,0,0,,0,,0,,0,,0,
40,FSD,83,5023.0,106.0,21.0,58.0,60.51807228915663,60.51807228915663,FSD,DEN,FSD_DEN,21,5,83,-1.4096385542168675,83,0.25301204819277107,27071.0,326.1566265060241,0,0,,0,,0,,0,,0,
40,FWA,49,2338.0,84.0,26.0,45.0,47.714285714285715,47.714285714285715,FWA,DTW,FWA_DTW,13,4,49,5.204081632653061,50,1.72,8092.0,161.84,0,0,,0,,0,,0,,0,
40,GCN,23,861.0,58.0,15.0,42.0,37.43478260869565,37.43478260869565,GCN,LAS,GCN_LAS,6,1,23,-2.3043478260869565,23,1.565217391304348,3046.0,132.43478260869566,0,0,,0,,0,,0,,0,
40,GEG,115,10234.0,191.0,46.0,77.0,88.99130434782609,88.99130434782609,GEG,SEA,GEG_SEA,33,6,115,4.860869565217391,115,4.582608695652174,62725.0,540.7327586206897,1,0,,0,,0,,0,,0,
