Year,week_number,Total_Flights
2001,29,1268
2001,30,1248
2001,31,1282
2001,32,1217
2001,33,1270
2001,34,1209
2001,35,1231
2001,36,1245
2001,37,473
2001,38,1017
2001,39,1041
2001,40,979
2001,41,980
2001,42,1021
2001,43,967
2001,44,1034
2001,45,997
2001,46,1048
2001,47,956
2001,48,993
2001,49,999
2001,50,982
2001,51,1019
2001,52,914
2002,1,1070
2002,2,1008
2002,3,1057
2002,4,985
2002,5,1022
2002,6,994
2002,7,1056
2002,8,1009
2002,9,1020
2002,10,1030
2002,11,1006
2002,12,1079
2002,13,1059
2002,14,988
2002,15,1042
2002,16,1048
2002,17,1016
2002,18,1025
2002,19,1038
2002,20,989
2002,21,1056
2002,22,1036
2002,23,1034
2002,24,1012
2002,25,1071
2002,26,1078
2002,27,939
2002,28,1085
2002,29,1067
2002,30,1066
2002,31,1136
2002,32,1063
2002,33,1036
2002,34,1048
2002,35,1044
2002,36,1134
2002,37,939
2002,38,1008
2002,39,1003
2002,40,975
2002,41,1045
2002,42,1021
2002,43,1049
2002,44,986
2002,45,1003
2002,46,996
2002,47,990
2002,48,931
2002,49,970
2002,50,967
2002,51,1012
2002,52,967
2003,1,1368
2003,2,1331
2003,3,1246
2003,4,1236
2003,5,1229
2003,6,1231
2003,7,1181
2003,8,1193
2003,9,1282
2003,10,1289
2003,11,1335
2003,12,1263
2003,13,1281
2003,14,1225
2003,15,1257
2003,16,1243
2003,17,1226
2003,18,1193
2003,19,1260
2003,20,1193
2003,21,1237
2003,22,1155
2003,23,1210
2003,24,1269
2003,25,1280
2003,26,1316
2003,27,1257
2003,28,1244
2003,29,1285
2003,30,1274
2003,31,1257
2003,32,1273
2003,33,1282
2003,34,1241
2003,35,1233
2003,36,1239
2003,37,1236
2003,38,1267
2003,39,1239
2003,40,1307
2003,41,1298
2003,42,1304
2003,43,1238
2003,44,1235
2003,45,1258
2003,46,1288
2003,47,1195
2003,48,1187
2003,49,1294
2003,50,1250
2003,51,1332
2003,52,1228
2004,1,685
2004,2,1347
2004,3,1332
2004,4,1357
2004,5,1303
2004,6,1377
2004,7,1310
2004,8,1374
2004,9,1305
2004,10,1333
2004,11,1403
2004,12,1368
2004,13,1358
2004,14,1386
2004,15,1424
2004,16,1482
2004,17,1404
2004,18,1364
2004,19,1371
2004,20,1360
2004,21,1372
2004,22,1368
2004,23,1373
2004,24,1358
2004,25,1416
2004,26,1386
2004,27,1333
2004,28,1432
2004,29,1404
2004,30,1384
2004,31,1396
2004,32,1404
2004,33,1406
2004,34,1435
2004,35,1412
2004,36,1292
2004,37,1373
2004,38,1362
2004,39,1353
2004,40,1392
2004,41,1431
2004,42,1390
2004,43,1348
2004,44,1458
2004,45,1396
2004,46,1380
2004,47,1339
2004,48,1329
2004,49,1301
2004,50,1420
2004,51,1410
2004,52,1306
2004,53,995
2005,1,1410
2005,2,1342
2005,3,1284
2005,4,1305
2005,5,1347
2005,6,1356
2005,7,1286
2005,8,1326
2005,9,1374
2005,10,1448
2005,11,1421
2005,12,1386
2005,13,1399
2005,14,1410
2005,15,1413
2005,16,1425
2005,17,1408
2005,18,1424
2005,19,1436
2005,20,1466
2005,21,1414
2005,22,1405
2005,23,1362
2005,24,1502
2005,25,1505
2005,26,1438
2005,27,1435
2005,28,1394
2005,29,1439
2005,30,1397
2005,31,1353
2005,32,1353
2005,33,1449
2005,34,1419
2005,35,1386
2005,36,1315
2005,37,1311
2005,38,1395
2005,39,1343
2005,40,1379
2005,41,1383
2005,42,1311
2005,43,1387
2005,44,1311
2005,45,1270
2005,46,1313
2005,47,1304
2005,48,1349
2005,49,1337
2005,50,1218
2005,51,1312
2005,52,1133
2005,53,349
2006,1,1428
2006,2,1341
2006,3,1342
2006,4,1347
2006,5,1293
2006,6,1357
2006,7,1379
2006,8,1400
2006,9,1413
2006,10,1375
2006,11,1384
2006,12,1408
2006,13,1340
2006,14,1355
2006,15,1376
2006,16,1435
2006,17,1446
2006,18,1314
2006,19,1340
2006,20,1451
2006,21,1357
2006,22,1402
2006,23,1439
2006,24,1380
2006,25,1416
2006,26,1368
2006,27,1377
2006,28,1424
2006,29,1385
2006,30,1352
2006,31,1399
2006,32,1411
2006,33,1494
2006,34,1430
2006,35,1479
2006,36,1403
2006,37,1338
2006,38,1379
2006,39,1391
2006,40,1410
2006,41,1381
2006,42,1467
2006,43,1436
2006,44,1461
2006,45,1370
2006,46,1402
2006,47,1388
2006,48,1334
2006,49,1354
2006,50,1377
2006,51,1339
2006,52,1537
2007,1,1590
2007,2,1317
2007,3,1390
2007,4,1422
2007,5,1465
2007,6,1383
2007,7,1325
2007,8,1416
2007,9,1423
2007,10,1543
2007,11,1432
2007,12,1457
2007,13,1469
2007,14,1490
2007,15,1451
2007,16,1403
2007,17,1415
2007,18,1507
2007,19,1474
2007,20,1494
2007,21,1379
2007,22,1404
2007,23,1491
2007,24,1482
2007,25,1557
2007,26,1439
2007,27,1348
2007,28,1458
2007,29,1493
2007,30,1412
2007,31,1479
2007,32,1474
2007,33,1533
2007,34,1508
2007,35,1411
2007,36,1460
2007,37,1407
2007,38,1445
2007,39,1446
2007,40,1448
2007,41,1422
2007,42,1417
2007,43,1450
2007,44,1428
2007,45,1432
2007,46,1428
2007,47,1359
2007,48,1346
2007,49,1453
2007,50,1312
2007,51,1423
2007,52,1359
2008,1,1687
2008,2,1355
