Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
ATL,33.6367,-84.428101,OMA,41.3032,-95.894096,141
ATL,33.6367,-84.428101,ONT,34.05599976,-117.6009979,91
ATL,33.6367,-84.428101,ORD,41.9786,-87.9048,2222
ATL,33.6367,-84.428101,ORF,36.89459991,-76.20120239,843
ATL,33.6367,-84.428101,PBI,26.68320084,-80.09559631,868
ATL,33.6367,-84.428101,PDX,45.58869934,-122.5979996,68
ATL,33.6367,-84.428101,PHL,39.87189865,-75.2410965,1284
ATL,33.6367,-84.428101,PHX,33.43429947,-112.012001,429
ATL,33.6367,-84.428101,PIT,40.49150085,-80.23290253,1349
ATL,33.6367,-84.428101,PNS,30.47340012,-87.18659973,846
ATL,33.6367,-84.428101,PVD,41.732601,-71.420403,84
ATL,33.6367,-84.428101,RDU,35.87760162,-78.78749847,1484
ATL,33.6367,-84.428101,RIC,37.50519943,-77.31970215,820
ATL,33.6367,-84.428101,ROA,37.3255,-79.975403,75
ATL,33.6367,-84.428101,ROC,43.1189003,-77.67240143,267
ATL,33.6367,-84.428101,RSW,26.53619957,-81.75520325,820
ATL,33.6367,-84.428101,SAN,32.73360062,-117.1900024,86
ATL,33.6367,-84.428101,SAT,29.53370094,-98.46980286,511
ATL,33.6367,-84.428101,SAV,32.12760162,-81.20210266,1133
ATL,33.6367,-84.428101,SDF,38.1744,-85.736,950
ATL,33.6367,-84.428101,SEA,47.449001,-122.308998,404
ATL,33.6367,-84.428101,SFO,37.61899948,-122.375,469
ATL,33.6367,-84.428101,SHV,32.446602,-93.8256,91
ATL,33.6367,-84.428101,SJU,18.43939972,-66.00180054,399
ATL,33.6367,-84.428101,SLC,40.78839874,-111.9779968,366
ATL,33.6367,-84.428101,SRQ,27.39539909,-82.55439758,795
ATL,33.6367,-84.428101,STL,38.748697,-90.370003,1180
ATL,33.6367,-84.428101,STT,18.33729935,-64.9733963,50
ATL,33.6367,-84.428101,SYR,43.11119843,-76.10630035,162
ATL,33.6367,-84.428101,TLH,30.39649963,-84.35030365,679
ATL,33.6367,-84.428101,TOL,41.58679962,-83.80780029,178
ATL,33.6367,-84.428101,TPA,27.97550011,-82.53320313,1546
ATL,33.6367,-84.428101,TUL,36.19839859,-95.88809967,270
ATL,33.6367,-84.428101,TUS,32.11610031,-110.9410019,87
ATL,33.6367,-84.428101,TYS,35.81100082,-83.9940033,631
ATW,44.2580986,-88.51909637,CWA,44.77759933,-89.66680145,73
ATW,44.2580986,-88.51909637,DTW,42.21239853,-83.35340118,126
ATW,44.2580986,-88.51909637,MSP,44.882,-93.221802,237
AUS,30.19449997,-97.66989899,ATL,33.6367,-84.428101,261
AUS,30.19449997,-97.66989899,DAL,32.847099,-96.851799,928
AUS,30.19449997,-97.66989899,DEN,39.86169815,-104.6729965,234
AUS,30.19449997,-97.66989899,DFW,32.896801,-97.038002,1608
AUS,30.19449997,-97.66989899,ELP,31.80719948,-106.3779984,231
AUS,30.19449997,-97.66989899,HOU,29.64539909,-95.27890015,954
AUS,30.19449997,-97.66989899,HRL,26.22850037,-97.65440369,73
AUS,30.19449997,-97.66989899,IAH,29.9843998,-95.34140015,606
AUS,30.19449997,-97.66989899,LAS,36.08010101,-115.1520004,44
AUS,30.19449997,-97.66989899,LAX,33.94250107,-118.4079971,172
AUS,30.19449997,-97.66989899,LBB,33.663601,-101.822998,171
AUS,30.19449997,-97.66989899,MAF,31.94249916,-102.2020035,298
AUS,30.19449997,-97.66989899,MEM,35.04240036,-89.97669983,236
AUS,30.19449997,-97.66989899,ORD,41.9786,-87.9048,349
AUS,30.19449997,-97.66989899,PHX,33.43429947,-112.012001,332
AUS,30.19449997,-97.66989899,SAT,29.53370094,-98.46980286,549
AUS,30.19449997,-97.66989899,SLC,40.78839874,-111.9779968,72
AUS,30.19449997,-97.66989899,STL,38.748697,-90.370003,88
AVL,35.43619919,-82.54180145,BWI,39.1754,-76.668297,91
AVL,35.43619919,-82.54180145,CLT,35.2140007,-80.94309998,455
AVP,41.33850098,-75.7233963,ABE,40.65209961,-75.44080353,182
